"Id";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref";
1;"IC1";"TQFP44";1;"ATXMEGA32A4U";;;
2;"R1";"SM0805";1;"10k";;;
3;"P2";"pin_array_3x2";1;"CONN_3X2";;;
4;"L2,L1";"SM0805";2;"100n";;;
5;"P1,P3";"PIN_ARRAY_20X1";2;"CONN_20";;;
6;"C11,C10";"SM0805";2;"18p";;;
7;"C3,C1,C9,C12,C13";"SM0805";5;"4u7";;;
8;"C6,C7,C8,C2,C4,C5";"SM0603_Capa";6;"100n";;;
9;"R2,R3,R4";"SM0805";3;"330";;;
10;"D1,D2";"LED-0805";2;"LED";;;
11;"P4";"ZX62-B-5PA";1;"MICROUSB";;;
12;"D3,D5";"SM0805";2;"LED";;;
13;"R5";"SM0805";1;"680";;;
14;"D4";"SOT363";1;"BAS70BRW";;;
15;"D6";"SOD323";1;"6V2";;;
16;"X1";"HC-49V";1;"4 MHz";;;
